TIME,TORQUE,PASD,PASP
10997, 490.00, 0.00, 1000.00
11028, 490.00, 0.00, 1000.00
11058, 486.00, 0.00, 0.00
11084, 491.00, 0.00, 0.00
11112, 494.00, 0.00, 0.00
11139, 480.00, 0.00, 0.00
11166, 486.00, 0.00, 0.00
11193, 496.00, 0.00, 0.00
11219, 491.00, 0.00, 0.00
11247, 493.00, 0.00, 0.00
11274, 490.00, 0.00, 0.00
11301, 488.00, 0.00, 0.00
11328, 500.00, 0.00, 0.00
11355, 489.00, 0.00, 0.00
11382, 486.00, 0.00, 0.00
11409, 485.00, 0.00, 0.00
11437, 487.00, 0.00, 0.00
11463, 490.00, 0.00, 0.00
11491, 489.00, 0.00, 0.00
11517, 487.00, 992.00, 0.00
11546, 484.00, 996.00, 0.00
11576, 486.00, 990.00, 0.00
11604, 491.00, 997.00, 0.00
11634, 486.00, 998.00, 0.00
11663, 483.00, 997.00, 0.00
11693, 488.00, 992.00, 0.00
11721, 488.00, 998.00, 0.00
11750, 486.00, 998.00, 0.00
11780, 486.00, 997.00, 0.00
11808, 488.00, 988.00, 0.00
11838, 484.00, 1002.00, 0.00
11868, 486.00, 997.00, 0.00
11897, 485.00, 1001.00, 0.00
11927, 479.00, 1000.00, 0.00
11958, 495.00, 997.00, 0.00
11986, 485.00, 997.00, 0.00
12015, 488.00, 999.00, 0.00
12045, 483.00, 996.00, 0.00
12073, 484.00, 995.00, 0.00
12103, 483.00, 991.00, 0.00
12132, 491.00, 1000.00, 0.00
12163, 492.00, 993.00, 0.00
12191, 485.00, 1000.00, 0.00
12222, 497.00, 999.00, 0.00
12251, 491.00, 1001.00, 0.00
12280, 489.00, 997.00, 0.00
12310, 482.00, 997.00, 0.00
12339, 487.00, 1003.00, 0.00
12369, 492.00, 993.00, 0.00
12398, 489.00, 996.00, 0.00
12428, 485.00, 996.00, 0.00
12456, 487.00, 997.00, 0.00
12485, 485.00, 1000.00, 0.00
12516, 489.00, 999.00, 0.00
12545, 483.00, 996.00, 0.00
12574, 485.00, 995.00, 0.00
12603, 486.00, 995.00, 0.00
12633, 480.00, 990.00, 0.00
12661, 484.00, 992.00, 0.00
12691, 494.00, 996.00, 0.00
12720, 486.00, 996.00, 0.00
12748, 483.00, 995.00, 0.00
12778, 485.00, 996.00, 0.00
12807, 481.00, 997.00, 0.00
12836, 485.00, 995.00, 0.00
12865, 478.00, 998.00, 0.00
12895, 485.00, 992.00, 0.00
12923, 491.00, 997.00, 0.00
12952, 488.00, 996.00, 0.00
12982, 487.00, 996.00, 0.00
13010, 480.00, 997.00, 0.00
13040, 481.00, 998.00, 0.00
13069, 482.00, 995.00, 0.00
13099, 482.00, 996.00, 0.00
13127, 480.00, 991.00, 0.00
13157, 484.00, 996.00, 0.00
13186, 485.00, 993.00, 0.00
13214, 483.00, 997.00, 0.00
13244, 480.00, 995.00, 0.00
13273, 483.00, 998.00, 0.00
13302, 481.00, 997.00, 0.00
13331, 484.00, 997.00, 0.00
13361, 479.00, 997.00, 0.00
13389, 483.00, 997.00, 0.00
13418, 484.00, 992.00, 0.00
13448, 491.00, 993.00, 0.00
13476, 481.00, 993.00, 0.00
13506, 490.00, 1003.00, 0.00
13536, 485.00, 998.00, 0.00
13565, 481.00, 997.00, 0.00
13594, 486.00, 989.00, 0.00
13624, 491.00, 996.00, 0.00
13652, 488.00, 996.00, 0.00
13681, 485.00, 999.00, 0.00
13711, 480.00, 996.00, 0.00
13740, 487.00, 1000.00, 0.00
13770, 489.00, 993.00, 0.00
13799, 488.00, 998.00, 0.00
13829, 480.00, 997.00, 0.00
13857, 483.00, 992.00, 0.00
13887, 482.00, 1000.00, 0.00
13917, 490.00, 994.00, 0.00
13945, 483.00, 993.00, 0.00
13975, 485.00, 999.00, 0.00
14004, 481.00, 998.00, 0.00
14033, 487.00, 995.00, 0.00
14062, 479.00, 992.00, 0.00
14092, 483.00, 998.00, 0.00
14120, 481.00, 998.00, 0.00
14149, 485.00, 991.00, 0.00
14179, 491.00, 994.00, 0.00
14208, 491.00, 998.00, 0.00
14237, 480.00, 999.00, 0.00
14266, 487.00, 996.00, 0.00
14296, 478.00, 993.00, 0.00
14324, 473.00, 989.00, 0.00
14354, 478.00, 993.00, 0.00
14383, 485.00, 995.00, 0.00
14411, 489.00, 993.00, 0.00
14441, 485.00, 994.00, 0.00
14470, 484.00, 999.00, 0.00
14499, 483.00, 999.00, 0.00
14528, 483.00, 996.00, 0.00
14558, 479.00, 993.00, 0.00
14586, 479.00, 997.00, 0.00
14615, 487.00, 998.00, 0.00
14645, 482.00, 994.00, 0.00
14673, 492.00, 995.00, 0.00
14703, 487.00, 1000.00, 0.00
14733, 484.00, 995.00, 0.00
14763, 479.00, 992.00, 0.00
14791, 477.00, 993.00, 0.00
14821, 487.00, 996.00, 0.00
14850, 484.00, 995.00, 0.00
14878, 480.00, 996.00, 0.00
14908, 483.00, 999.00, 0.00
14937, 482.00, 1001.00, 0.00
14967, 489.00, 997.00, 0.00
14996, 487.00, 992.00, 0.00
15026, 480.00, 992.00, 0.00
15054, 480.00, 1001.00, 0.00
15085, 479.00, 996.00, 0.00
15114, 482.00, 993.00, 0.00
15142, 488.00, 1000.00, 0.00
15173, 481.00, 998.00, 0.00
15202, 476.00, 990.00, 0.00
15232, 484.00, 997.00, 0.00
15260, 477.00, 995.00, 0.00
15290, 484.00, 998.00, 0.00
15319, 484.00, 993.00, 0.00
15347, 479.00, 993.00, 0.00
15377, 481.00, 1001.00, 0.00
15407, 480.00, 996.00, 0.00
15436, 481.00, 994.00, 0.00
15465, 486.00, 996.00, 0.00
15495, 485.00, 991.00, 0.00
15523, 487.00, 996.00, 0.00
15553, 482.00, 992.00, 0.00
15582, 482.00, 998.00, 0.00
15610, 480.00, 993.00, 0.00
15640, 483.00, 998.00, 0.00
15669, 482.00, 992.00, 0.00
15698, 487.00, 998.00, 0.00
15727, 481.00, 992.00, 0.00
15757, 488.00, 999.00, 0.00
15785, 486.00, 989.00, 0.00
15814, 488.00, 996.00, 0.00
15844, 483.00, 993.00, 0.00
15873, 482.00, 1004.00, 0.00
15903, 479.00, 996.00, 0.00
15932, 477.00, 992.00, 0.00
15962, 482.00, 992.00, 0.00
15990, 491.00, 999.00, 0.00
16020, 488.00, 995.00, 0.00
16049, 475.00, 988.00, 0.00
16077, 478.00, 995.00, 0.00
16107, 482.00, 1000.00, 0.00
16137, 484.00, 995.00, 0.00
16166, 482.00, 995.00, 0.00
16195, 488.00, 994.00, 0.00
16225, 489.00, 1000.00, 0.00
16254, 480.00, 997.00, 0.00
16284, 482.00, 993.00, 0.00
16313, 479.00, 992.00, 0.00
16342, 499.00, 998.00, 0.00
16371, 490.00, 997.00, 0.00
16400, 494.00, 997.00, 0.00
16430, 496.00, 994.00, 0.00
16458, 482.00, 992.00, 0.00
16488, 488.00, 998.00, 0.00
16517, 490.00, 1000.00, 0.00
16546, 480.00, 988.00, 0.00
16576, 492.00, 997.00, 0.00
16605, 493.00, 996.00, 0.00
16634, 492.00, 999.00, 0.00
16663, 487.00, 995.00, 0.00
16693, 490.00, 992.00, 0.00
16721, 493.00, 1002.00, 0.00
16752, 496.00, 996.00, 0.00
16781, 488.00, 999.00, 0.00
16809, 487.00, 995.00, 0.00
16839, 490.00, 995.00, 0.00
16868, 491.00, 1000.00, 997.00
16901, 497.00, 0.00, 994.00
16929, 490.00, 998.00, 0.00
16959, 491.00, 997.00, 997.00
16990, 491.00, 998.00, 0.00
17019, 489.00, 1000.00, 0.00
17049, 489.00, 991.00, 0.00
17078, 486.00, 988.00, 0.00
17107, 493.00, 0.00, 0.00
17134, 485.00, 987.00, 995.00
17166, 490.00, 0.00, 0.00
17192, 490.00, 876.00, 996.00
17224, 490.00, 996.00, 0.00
17253, 488.00, 0.00, 0.00
17281, 485.00, 0.00, 987.00
17309, 487.00, 992.00, 986.00
17340, 491.00, 995.00, 993.00
17372, 486.00, 989.00, 990.00
17402, 487.00, 995.00, 991.00
17434, 489.00, 993.00, 993.00
17465, 485.00, 0.00, 988.00
17495, 485.00, 0.00, 0.00
17521, 484.00, 0.00, 0.00
17549, 481.00, 0.00, 0.00
17575, 480.00, 989.00, 0.00
17604, 481.00, 991.00, 0.00
17634, 483.00, 996.00, 0.00
17662, 477.00, 989.00, 0.00
17692, 483.00, 994.00, 0.00
17721, 480.00, 992.00, 0.00
17751, 477.00, 987.00, 0.00
17779, 482.00, 990.00, 0.00
17808, 477.00, 990.00, 0.00
17838, 482.00, 994.00, 0.00
17866, 480.00, 992.00, 0.00
17896, 480.00, 991.00, 0.00
17925, 484.00, 992.00, 996.00
17956, 482.00, 0.00, 0.00
17983, 482.00, 990.00, 0.00
18013, 481.00, 986.00, 989.00
18043, 482.00, 988.00, 991.00
18074, 476.00, 983.00, 990.00
18106, 481.00, 0.00, 0.00
18132, 485.00, 993.00, 996.00
18164, 483.00, 0.00, 0.00
18191, 488.00, 0.00, 0.00
18219, 484.00, 0.00, 0.00
18245, 479.00, 0.00, 992.00
18274, 477.00, 0.00, 989.00
18304, 487.00, 0.00, 993.00
18332, 486.00, 0.00, 993.00
18362, 486.00, 0.00, 0.00
18388, 477.00, 0.00, 0.00
18416, 484.00, 0.00, 0.00
18443, 484.00, 0.00, 0.00
18469, 486.00, 0.00, 0.00
18497, 483.00, 0.00, 0.00
18524, 489.00, 0.00, 0.00
18551, 471.00, 989.00, 0.00
18580, 483.00, 994.00, 0.00
18609, 485.00, 994.00, 0.00
18638, 484.00, 996.00, 0.00
18667, 483.00, 995.00, 0.00
18697, 481.00, 990.00, 0.00
18725, 486.00, 0.00, 0.00
18753, 487.00, 0.00, 995.00
18782, 485.00, 0.00, 994.00
18811, 484.00, 0.00, 992.00
18840, 479.00, 0.00, 990.00
18869, 484.00, 0.00, 994.00
18898, 482.00, 0.00, 992.00
18927, 484.00, 0.00, 993.00
18957, 485.00, 0.00, 992.00
18985, 485.00, 0.00, 992.00
19015, 485.00, 0.00, 994.00
19044, 481.00, 0.00, 994.00
19073, 478.00, 0.00, 990.00
19102, 486.00, 0.00, 995.00
19131, 477.00, 0.00, 990.00
19161, 487.00, 0.00, 996.00
19189, 482.00, 0.00, 993.00
19219, 488.00, 0.00, 995.00
19248, 479.00, 0.00, 994.00
19277, 486.00, 0.00, 995.00
19306, 482.00, 0.00, 993.00
19335, 478.00, 0.00, 0.00
19362, 484.00, 0.00, 0.00
19389, 483.00, 0.00, 0.00
19417, 483.00, 0.00, 0.00
19443, 484.00, 0.00, 0.00
19470, 479.00, 0.00, 0.00
19497, 479.00, 0.00, 0.00
19524, 486.00, 0.00, 0.00
19552, 481.00, 0.00, 0.00
19578, 480.00, 0.00, 0.00
19605, 479.00, 0.00, 0.00
19633, 480.00, 0.00, 0.00
19659, 483.00, 0.00, 0.00
19687, 484.00, 0.00, 0.00
19714, 477.00, 0.00, 0.00
19740, 484.00, 0.00, 0.00
19768, 482.00, 0.00, 0.00
19794, 484.00, 0.00, 0.00
19822, 481.00, 0.00, 0.00
19849, 481.00, 0.00, 0.00
19876, 482.00, 0.00, 0.00
19903, 480.00, 0.00, 0.00
19930, 478.00, 0.00, 0.00
19957, 485.00, 0.00, 0.00
19984, 485.00, 0.00, 0.00
20012, 484.00, 0.00, 0.00
20038, 481.00, 0.00, 0.00
20065, 479.00, 0.00, 0.00
20092, 484.00, 0.00, 0.00
20119, 480.00, 0.00, 0.00
20147, 480.00, 0.00, 0.00
20173, 482.00, 0.00, 0.00
20200, 481.00, 0.00, 0.00
20228, 486.00, 0.00, 0.00
20254, 478.00, 0.00, 0.00
20282, 479.00, 0.00, 0.00
20308, 486.00, 0.00, 0.00
20335, 483.00, 0.00, 0.00
20363, 481.00, 0.00, 0.00
20389, 479.00, 0.00, 0.00
20417, 482.00, 0.00, 0.00
20444, 486.00, 0.00, 0.00
20470, 483.00, 0.00, 0.00
20498, 471.00, 0.00, 0.00
20525, 481.00, 0.00, 0.00
20552, 480.00, 0.00, 0.00
20579, 483.00, 0.00, 0.00
20605, 480.00, 0.00, 0.00
20633, 483.00, 0.00, 0.00
20660, 484.00, 0.00, 0.00
20687, 484.00, 0.00, 0.00
20714, 480.00, 0.00, 0.00
20742, 486.00, 0.00, 0.00
20768, 488.00, 0.00, 0.00
20795, 486.00, 0.00, 0.00
20823, 487.00, 0.00, 0.00
20849, 485.00, 0.00, 0.00
20877, 490.00, 0.00, 0.00
20903, 489.00, 0.00, 0.00
20930, 484.00, 0.00, 0.00
20958, 488.00, 0.00, 0.00
20984, 491.00, 0.00, 0.00
21012, 491.00, 0.00, 0.00
